PAPELARIA EXEMPLO LTDA,,
CNPJ: 12.345.678/0001-90,,
"Av. Brasil, 1.000 — Centro — São Paulo/SP",,
Documento Auxiliar da Nota Fiscal de Consumidor Eletrônica,,
# Cód  Descrição,,
Qtd UN x  Vl.Unit    Total,,
001 0001 Caneta Bic Azul,,
"    2,000 UN x 2,50",,5
002 0003 Caderno Brochura 96fls,,
"    1,000 UN x 27,40",,27.4
003 0006 Lápis HB Faber-Castell,,
"    3,000 UN x 0,90",,2.7
004 0004 Marcador de Texto Amarelo,,
"    1,000 UN x 11,90",,11.9
VALOR TOTAL R$,"47,00",
Forma de pagamento: Cartão Débito,,
Consulte pela chave de acesso:,,
3526 0512 3456 7800 0190 6500 1000 0123 4510 0000 0017,,
Protocolo: 135260000000123 — 23/05/2026 14:32,,
"Tributos totais (Lei 12.741/12): R$ 8,46",,
Emitido por OmniReport · 17/06/2026 18:15,,
